592,1,279.00,-0.00,879.00,504.00,0.9125,1,-1,-1
593,1,216.00,0.00,891.00,525.00,0.8699,1,-1,-1
594,1,159.00,0.00,891.00,549.00,0.8855,1,-1,-1
595,1,105.00,0.00,876.00,564.00,0.8364,1,-1,-1
599,1,9.00,0.00,774.00,597.00,0.7606,1,-1,-1
601,1,3.00,0.00,645.00,648.00,0.8734,1,-1,-1
603,1,-0.00,0.00,582.00,672.00,0.8011,1,-1,-1
605,1,0.00,30.00,456.00,714.00,0.8394,1,-1,-1
667,2,840.00,-0.00,1008.00,693.00,0.8988,1,-1,-1
668,2,807.00,-0.00,1065.00,720.00,0.8814,1,-1,-1
669,2,774.00,-0.00,1110.00,744.00,0.8302,1,-1,-1
670,2,741.00,0.00,1161.00,792.00,0.8530,1,-1,-1
671,2,741.00,0.00,1161.00,792.00,0.8492,1,-1,-1
672,2,708.00,0.00,1197.00,858.00,0.8069,1,-1,-1
673,2,666.00,0.00,1251.00,885.00,0.8695,1,-1,-1
674,2,624.00,0.00,1296.00,921.00,0.8729,1,-1,-1
679,2,468.00,90.00,1389.00,864.00,0.7040,1,-1,-1
680,2,414.00,57.00,1464.00,897.00,0.6352,1,-1,-1
682,2,345.00,0.00,1563.00,981.00,0.6886,1,-1,-1
683,2,345.00,0.00,1563.00,981.00,0.6959,1,-1,-1
684,2,324.00,0.00,1578.00,972.00,0.7749,1,-1,-1
685,2,279.00,0.00,1638.00,978.00,0.8323,1,-1,-1
686,2,261.00,0.00,1650.00,978.00,0.8439,1,-1,-1
691,2,39.00,-0.00,1878.00,1014.00,0.7449,1,-1,-1
701,2,18.00,0.00,1725.00,1080.00,0.7441,1,-1,-1
704,2,0.00,0.00,1608.00,1080.00,0.8630,1,-1,-1
709,2,0.00,6.00,1467.00,1074.00,0.7280,1,-1,-1
710,2,-0.00,9.00,1434.00,1071.00,0.6843,1,-1,-1
716,2,3.00,27.00,1296.00,1053.00,0.6222,1,-1,-1
718,2,0.00,54.00,1245.00,1026.00,0.7430,1,-1,-1
722,2,0.00,126.00,1173.00,954.00,0.7269,1,-1,-1
724,2,0.00,171.00,1098.00,909.00,0.6219,1,-1,-1
731,2,3.00,267.00,1125.00,813.00,0.6894,1,-1,-1
733,2,39.00,273.00,975.00,807.00,0.7004,1,-1,-1
734,2,6.00,276.00,993.00,804.00,0.8284,1,-1,-1
735,2,3.00,276.00,1059.00,804.00,0.8764,1,-1,-1
736,2,12.00,276.00,981.00,804.00,0.8303,1,-1,-1
737,2,12.00,276.00,984.00,804.00,0.8396,1,-1,-1
739,2,51.00,285.00,939.00,795.00,0.8562,1,-1,-1
740,2,63.00,288.00,942.00,792.00,0.8299,1,-1,-1
742,2,183.00,291.00,753.00,741.00,0.5969,1,-1,-1
747,2,138.00,315.00,786.00,705.00,0.8480,1,-1,-1
749,3,297.00,327.00,432.00,360.00,0.4481,1,-1,-1
752,3,171.00,375.00,693.00,561.00,0.8579,1,-1,-1
755,3,246.00,381.00,594.00,474.00,0.8168,1,-1,-1
756,3,198.00,384.00,639.00,561.00,0.8436,1,-1,-1
757,3,210.00,384.00,621.00,555.00,0.8526,1,-1,-1
758,3,219.00,390.00,609.00,552.00,0.8450,1,-1,-1
760,3,234.00,366.00,573.00,519.00,0.8013,1,-1,-1
762,3,246.00,351.00,546.00,525.00,0.8085,1,-1,-1
764,3,336.00,333.00,384.00,474.00,0.6329,1,-1,-1
766,3,363.00,384.00,321.00,363.00,0.7818,1,-1,-1
770,4,6.00,0.00,1911.00,1080.00,0.7558,1,-1,-1
771,4,6.00,0.00,1911.00,1080.00,0.7540,1,-1,-1
772,4,0.00,0.00,1920.00,1080.00,0.7690,1,-1,-1
773,4,3.00,0.00,1917.00,1080.00,0.8052,1,-1,-1
774,4,0.00,0.00,1920.00,1080.00,0.7691,1,-1,-1
775,4,0.00,0.00,1920.00,1080.00,0.8015,1,-1,-1
776,4,3.00,0.00,1917.00,1080.00,0.7641,1,-1,-1
777,4,3.00,0.00,1917.00,1080.00,0.7620,1,-1,-1
778,4,6.00,0.00,1914.00,1080.00,0.7700,1,-1,-1
779,4,9.00,0.00,1911.00,1080.00,0.7764,1,-1,-1
780,4,3.00,0.00,1917.00,1080.00,0.7872,1,-1,-1
803,4,0.00,0.00,1920.00,1080.00,0.6961,1,-1,-1
813,4,9.00,0.00,1911.00,1080.00,0.5991,1,-1,-1
836,4,0.00,0.00,1626.00,1080.00,0.5104,1,-1,-1
837,4,0.00,0.00,1629.00,1080.00,0.5049,1,-1,-1
860,4,0.00,0.00,1416.00,1080.00,0.4619,1,-1,-1
870,4,12.00,0.00,1350.00,1080.00,0.7618,1,-1,-1
871,4,24.00,0.00,1332.00,1080.00,0.7954,1,-1,-1
874,4,36.00,0.00,1293.00,1080.00,0.8015,1,-1,-1
880,4,45.00,-0.00,1227.00,1068.00,0.8480,1,-1,-1
882,4,54.00,0.00,1194.00,1050.00,0.8361,1,-1,-1
883,4,63.00,0.00,1173.00,1050.00,0.8909,1,-1,-1
884,4,69.00,0.00,1161.00,1047.00,0.8779,1,-1,-1
885,4,72.00,0.00,1158.00,1047.00,0.8824,1,-1,-1
886,4,87.00,0.00,1128.00,1038.00,0.8898,1,-1,-1
887,4,99.00,0.00,1107.00,1026.00,0.8986,1,-1,-1
888,4,102.00,0.00,1095.00,1023.00,0.8999,1,-1,-1
889,4,111.00,0.00,1077.00,1011.00,0.9095,1,-1,-1
890,4,120.00,0.00,1059.00,1005.00,0.9022,1,-1,-1
891,4,120.00,0.00,1062.00,1005.00,0.9005,1,-1,-1
892,4,126.00,0.00,1044.00,996.00,0.8988,1,-1,-1
893,4,135.00,0.00,1026.00,984.00,0.8886,1,-1,-1
894,4,147.00,0.00,1005.00,969.00,0.8715,1,-1,-1
895,4,153.00,-0.00,990.00,963.00,0.8596,1,-1,-1
896,4,162.00,3.00,978.00,951.00,0.8607,1,-1,-1
897,4,165.00,3.00,972.00,951.00,0.8556,1,-1,-1
898,4,174.00,18.00,957.00,936.00,0.8543,1,-1,-1
899,4,183.00,18.00,945.00,924.00,0.8584,1,-1,-1
900,4,192.00,21.00,930.00,921.00,0.8561,1,-1,-1
901,4,201.00,24.00,909.00,915.00,0.8678,1,-1,-1
902,4,213.00,27.00,891.00,906.00,0.8199,1,-1,-1
903,4,213.00,30.00,891.00,900.00,0.8115,1,-1,-1
904,4,228.00,39.00,873.00,876.00,0.8507,1,-1,-1
905,4,234.00,42.00,885.00,870.00,0.8343,1,-1,-1
906,4,234.00,42.00,885.00,870.00,0.8370,1,-1,-1
907,4,249.00,57.00,888.00,867.00,0.8418,1,-1,-1
908,4,258.00,57.00,891.00,858.00,0.8685,1,-1,-1
909,4,258.00,57.00,891.00,858.00,0.8687,1,-1,-1
910,4,264.00,63.00,894.00,852.00,0.8549,1,-1,-1
911,4,270.00,66.00,897.00,846.00,0.8527,1,-1,-1
912,4,282.00,72.00,900.00,843.00,0.8671,1,-1,-1
913,4,285.00,78.00,903.00,834.00,0.8596,1,-1,-1
914,4,288.00,81.00,915.00,828.00,0.8495,1,-1,-1
915,4,288.00,84.00,912.00,828.00,0.8534,1,-1,-1
916,4,291.00,84.00,918.00,828.00,0.8459,1,-1,-1
917,4,294.00,90.00,930.00,807.00,0.8609,1,-1,-1
918,4,306.00,90.00,924.00,816.00,0.8609,1,-1,-1
919,4,312.00,93.00,927.00,813.00,0.8498,1,-1,-1
920,4,318.00,99.00,930.00,807.00,0.8585,1,-1,-1
921,4,318.00,99.00,930.00,810.00,0.8564,1,-1,-1
922,4,324.00,102.00,927.00,804.00,0.8777,1,-1,-1
923,4,330.00,108.00,933.00,801.00,0.8803,1,-1,-1
924,4,327.00,105.00,951.00,813.00,0.8542,1,-1,-1
925,4,330.00,108.00,960.00,804.00,0.8805,1,-1,-1
926,4,333.00,108.00,960.00,801.00,0.8639,1,-1,-1
927,4,336.00,108.00,960.00,801.00,0.8633,1,-1,-1
928,4,348.00,108.00,966.00,798.00,0.8557,1,-1,-1
929,4,354.00,108.00,966.00,795.00,0.8562,1,-1,-1
930,4,360.00,111.00,969.00,786.00,0.8357,1,-1,-1
932,4,357.00,120.00,981.00,771.00,0.8359,1,-1,-1
933,4,357.00,120.00,981.00,771.00,0.8353,1,-1,-1
934,4,354.00,126.00,987.00,768.00,0.8348,1,-1,-1
935,4,363.00,129.00,984.00,765.00,0.8228,1,-1,-1
936,4,375.00,135.00,975.00,762.00,0.8306,1,-1,-1
937,4,375.00,138.00,981.00,747.00,0.8535,1,-1,-1
938,4,378.00,144.00,981.00,741.00,0.8442,1,-1,-1
939,4,381.00,147.00,975.00,738.00,0.8342,1,-1,-1
940,4,393.00,156.00,966.00,702.00,0.8436,1,-1,-1
941,4,387.00,156.00,978.00,678.00,0.8699,1,-1,-1
946,4,402.00,162.00,966.00,672.00,0.8765,1,-1,-1
947,4,405.00,162.00,966.00,663.00,0.8594,1,-1,-1
948,4,408.00,168.00,960.00,636.00,0.8790,1,-1,-1
949,4,411.00,168.00,948.00,612.00,0.8811,1,-1,-1
950,4,411.00,168.00,948.00,606.00,0.8834,1,-1,-1
951,4,411.00,168.00,948.00,606.00,0.8867,1,-1,-1
952,4,411.00,168.00,948.00,606.00,0.8924,1,-1,-1
953,4,411.00,171.00,942.00,606.00,0.8982,1,-1,-1
